frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
95.5,WHLH,JACKSON,MS,NDIR,100.0,32.24069444444444,90.40425,C,HALLELUJAH 95.5,451.0,iHeartMedia,Urban Gospel,"Jackson, MS"
97.9,WIBT,GREENVILLE,MS,NDIR,9.8,33.46955555555556,90.84174999999999,C3,97.9 THE BEAT,159.0,"DELTA RADIO NETWORK, LLC",Urban AC,
102.1,WIQQ,LELAND,MS,NDIR,14.0,33.46955555555556,90.84177777777778,C3,Q 102.1,135.0,"DELTA RADIO NETWORK, LLC",Contemporary Hit Radio,
101.3,WIUK-LP,IUKA,MS,NDIR,0.084,34.81258333333333,88.19058333333334,LP100,101.3 THE FLASH,32.564568,FLASH CATS ANIMAL ADVOCACY,Contemporary Christian,
96.1,WIVG,TUNICA,MS,DRL,4.1,34.72677777777778,90.16202777777778,C3,AIR1,246.0,Educational Media Foundation,Contemporary Christian,
100.1,WIWT-LP,JACKSON,MS,NDIR,0.04,32.38125,90.15091666666667,LP100,,47.0,"CHURCH IN JACKSON, INC.",Religious Teaching,"Jackson, MS"
106.7,WIXP-LP,GREENVILLE,MS,NDIR,0.1,33.441222222222216,91.03730555555555,LP100,,28.0,"GRACE OUTREACH BIBLE CHURCH, INC.",Religious Teaching,
93.9,WJAI,PEARL,MS,NDIR,14.5,32.23513888888889,89.89619444444445,C3,AIR1,135.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,"Jackson, MS"
101.3,WJDQ,MERIDIAN,MS,NDIR,100.0,32.312083333333334,88.69255555555556,C1,Q 101 TODAY'S BEST MUSIC,176.0,"MISSISSIPPI BROADCASTERS, LLC",Contemporary Hit Radio,
98.3,WJDR,PRENTISS,MS,NDIR,6.0,31.49377777777778,89.89255555555556,A,TALK OF SOUTHERN MISSISSIPPI,100.0,SUN BELT BROADCASTING CORPORATION,Talk,
105.1,WJDX-FM,KOSCIUSKO,MS,NDIR,100.0,32.69038888888888,89.86838888888889,C1,REAL 105.1,299.0,iHeartMedia,Urban Contemporary,"Jackson, MS"
98.7,WJKK,VICKSBURG,MS,NDIR,52.0,32.19152777777777,90.40619444444445,C1,MIX 98.7,391.4,"NEW SOUTH RADIO, INC.",Adult Contemporary,"Jackson, MS"
102.5,WJKX,ELLISVILLE,MS,NDIR,11.5,31.52722222222222,89.13527777777779,C2,102 JKX TODAY'S R&B OLD SCHOOL,256.0,iHeartMedia,Urban AC,Laurel-Hattiesburg
94.7,WJLV,JACKSON,MS,NDIR,100.0,32.281527777777775,90.29480555555556,C,K-LOVE,340.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,"Jackson, MS"
92.1,WJMG,HATTIESBURG,MS,DRL,6.0,31.342666666666666,89.29811111111111,A,G 92 THE STATION THAT BELONGS TO YOU,91.0,VERNON FLOYD DBA CIRCUIT BROADCSTING OF HATTIESBURG,Urban Contemporary,Laurel-Hattiesburg
99.7,WJMI,JACKSON,MS,NDIR,100.0,32.20791666666667,90.41397222222223,C0,99 JAMS,323.0,ALPHA MEDIA LICENSEE LLC,Urban Contemporary,"Jackson, MS"
92.1,WJNS-FM,BENTONIA,MS,NDIR,4.8,32.55708333333333,90.33730555555555,A,THE SONLIFE RADIO NETWORK,111.3,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,"Jackson, MS"
