frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
99.1,W256EA,Birmingham,MI,DRL,0.25,42.64861111111111,83.07527777777777,D,LA PLAYA 105.1,,MICHIGAN COMMUNITY RADIO,Tropical,Detroit
99.3,W257CZ,HOUGHTON,MI,NDIR,0.25,47.13491666666667,88.56483333333333,D,99.3 THE LIFT,,Queen Bee's Knees LLC,Hot AC,
99.3,W257EO,BRIDGEPORT,MI,DRL,0.25,43.34225,83.8991388888889,D,METV MUSIC 1250AM - 99.3FM,,NORTHERN STATES BROADCASTING CORP,Classic Hits,Saginaw-Bay City-Midland
99.5,W258DE,HILLSDALE,MI,NDIR,0.25,41.92811111111111,84.63605555555556,D,99.5 THE DALE,,"MCKIBBIN MEDIA GROUP, INC.",Country,
99.5,W258DF,LOWELL,MI,DRL,0.25,43.02280555555556,85.33919444444444,D,JETHRO FM,,"WYGR, LLC",Country,Grand Rapids
99.7,W259AD,NEWBERRY,MI,NDIR,0.027,46.31472222222222,85.5625,D,WITNESSING HIS WONDERFUL LOVE,,"GOSPEL OPPORTUNITIES, INC.",Religious Teaching,
99.7,W259AH,PETOSKEY,MI,DRL,0.25,45.50222222222222,85.02894444444445,D,THE PROMISE FM,,NORTHERN CHRISTIAN RADIO,Contemporary Christian/Religious Teaching,Traverse City-Petoskey-Cadillac
100.1,W261DM,MENOMINEE,MI,NDIR,0.25,45.10747222222222,87.60705555555555,D,NEWS TALK 1340,,"RADIO PLUS BAY CITIES, LLC",Talk,
99.7,W259CO,HOLLAND,MI,NDIR,0.25,42.79447222222222,86.10613888888888,D,99.7 AND 1450 WHTC,,"MIDWEST COMMUNICATIONS, INC.",News/Talk,Grand Rapids
99.7,W259CR,ATHENS,MI,DRL,0.25,41.62338888888889,85.34691666666666,D,FOX SPORTS RADIO 1230,,"SWICK BROADCASTING COMPANY, INC.",Sports,
99.9,W260AC,HOUGHTON,MI,NDIR,0.01,47.10088888888889,88.56552777777777,D,WITNESSING HIS WONDERFUL LOVE,,"GOSPEL OPPORTUNITIES, INC.",Religious Teaching,
99.9,W260AG,ISHPEMING,MI,DRL,0.25,46.30744444444444,87.30902777777777,D,K-LOVE,,MEDIABREW COMMUNICATIONS MARQUETTE LLC,Contemporary Christian,
99.9,W260BH,ALBION,MI,DRL,0.25,42.25875,84.78186111111111,D,,50.8,,Religious Teaching,
99.9,W260BX,LANSING,MI,DRL,0.19,42.72363888888889,84.54747222222223,D,FAMILY LIFE RADIO,108.1,Intentional Life Media,Contemporary Christian,Lansing-East Lansing
99.9,W260CB,DETROIT,MI,DRL,0.25,42.45363888888889,83.16380555555556,D,DETROIT PRAISE NETWORK,,"BEASLEY MEDIA GROUP LICENSES, LLC",Gospel Music/Religious Teaching,Detroit
99.9,W260CQ,PLAINFIELD TOWNSHIP,MI,NDIR,0.22,42.987500000000004,85.62388888888889,D,SMILE FM MICHIGAN'S POSITIVE HITS,,MICHIGAN COMMUNITY RADIO,Contemporary Christian,Grand Rapids
100.1,W261BH,FLINT,MI,NDIR,0.019,43.04141666666666,83.69105555555556,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Flint
100.1,W261CI,ESCANABA,MI,NDIR,0.05,45.7455,87.05427777777777,D,WITNESSING HIS WONDERFUL LOVE,55.0,"GOSPEL OPPORTUNITIES, INC.",Religious Teaching,
100.3,W262AF,PARCHMENT,MI,NDIR,0.038,42.28641666666667,85.58222222222221,D,SMILE FM MICHIGAN'S POSITIVE HITS,52.5,SMILE FM,Contemporary Christian,Kalamazoo
100.3,W262BD,DIMONDALE,MI,NDIR,0.099,42.73280555555556,84.55358333333334,D,JOY 1580AM 100.3FM,,EDUCATIONAL MEDIA FOUNDATION,Urban Gospel,Lansing-East Lansing
100.3,W262DN,IONIA,MI,DRL,0.25,42.941694444444444,85.33419444444444,D,I-1430 AND FM 92.7 WION,,"PACKER RADIO WION, LLC",Adult Contemporary,Grand Rapids
100.7,W264CF,ST. IGNACE,MI,NDIR,0.25,45.666666666666664,84.63472222222222,D,BIG COUNTRY GOLD,132.0,"BLACK DIAMOND BROADCAST HOLDINGS, LLC",Country,Traverse City-Petoskey-Cadillac
100.7,W264DQ,CADILLAC,MI,NDIR,0.25,44.24888888888889,85.31338888888888,D,THE SOURCE,,"Northern Christian Radio, Inc.",Religious Teaching,
100.9,W265AI,IRONWOOD,MI,NDIR,0.01,46.45633333333333,90.12794444444444,D,PUBLIC RADIO PLUS,94.0,"White Pine Community Broadcasting, Inc.",News/Variety,
101.1,W266BU,MOUNT PLEASANT,MI,DRL,0.12,43.57586111111112,84.77472222222222,D,THE BEAT,,CENTRAL MICHIGAN UNIVERSITY,Rhythmic CHR,
101.1,W266CG,BATTLE CREEK,MI,DRL,0.23,42.30422222222222,85.19222222222223,D,FAMILY LIFE RADIO,,Intentional Life Media,Contemporary Christian,
101.1,W266CS,TRAVERSE CITY,MI,NDIR,0.25,44.76027777777778,85.68286111111112,D,JML THE GRATEFUL DEAD STATION,,MITTEN NEWS LLC,Variety,Traverse City-Petoskey-Cadillac
101.5,W268CA,JACKSON,MI,DRL,0.25,42.23697222222222,84.36438888888888,D,NEWS TALK 970/101.5,39.1,"MCKIBBIN MEDIA GROUP, INC.",News/Talk,
101.5,W268CN,DETROIT,MI,DRL,0.099,42.44808333333333,83.17297222222223,D,101.5 FM & 1400 AM THE PATRIOT,,SALEM COMMUNICATIONS HOLDING CORPORATION,Talk,Detroit
101.9,W270CJ,JACKSON,MI,DRL,0.25,42.23697222222222,84.36438888888888,D,FOX SPORTS 101.9,39.1,"MCKIBBIN MEDIA GROUP, INC.",Sports,
101.7,W269CS,GALESBURG,MI,NDIR,0.08,42.264472222222224,85.42969444444445,D,HOME FM,,SPRING ARBOR UNIVERSITY,Christian CHR + Rock,Kalamazoo
101.9,W270DN,GREENVILLE,MI,NDIR,0.25,43.159749999999995,85.25502777777778,D,BACK ROADS,,"PACKER RADIO GREENVILLE, INC.",Country,
102.1,W271AG,MACKINAW CITY,MI,NDIR,0.019,45.771388888888886,84.75116666666666,D,WITNESSING HIS WONDERFUL LOVE,89.3,"GOSPEL OPPORTUNITIES, INC.",Religious Teaching,Traverse City-Petoskey-Cadillac
102.3,W272CR,PETOSKEY,MI,NDIR,0.25,45.180277777777775,85.09727777777778,D,THE TALK STATION,,"MACDONALD GARBER BROADCASTING, INC.",Talk,Traverse City-Petoskey-Cadillac
102.3,W272DG,PITTSFIELD TOWNSHIP,MI,NDIR,0.007,42.27583333333333,83.68527777777778,D,SMILE FM MICHIGAN'S POSITIVE HITS,24.0,MICHIGAN COMMUNITY RADIO,Contemporary Christian,Ann Arbor
102.3,W272EM,EAST LANSING,MI,DRL,0.25,42.70191666666667,84.41327777777778,D,,,BOARD OF TRUSTEES OF MICHIGAN STATE UNIVERSITY,News/Talk,Lansing-East Lansing
102.5,W273AR,PAW PAW,MI,NDIR,0.25,42.306416666666664,85.65694444444445,D,102.5 & 104.9 THE BLOCK,153.3,"Townsquare License, LLC",Rhythm And Blues,Kalamazoo
102.5,W273BM,BENTON HARBOR,MI,NDIR,0.25,42.07888888888889,86.46694444444445,D,WHFB 102.5 FM / 1060 AM,,GERARD MEDIA LLC,Urban AC,
102.5,W273CI,GRAND HAVEN,MI,NDIR,0.25,43.225833333333334,86.18055555555556,D,SMILE FM MICHIGAN'S POSITIVE HITS,,SMILE FM,Contemporary Christian,Muskegon
