frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
103.5,W278AU,APPLETON,WI,NDIR,0.25,44.26027777777778,88.36666666666666,D,APPLETON'S NEWS-TALK 1150,,"WOODWARD COMMUNICATIONS, INC.",News/Talk,Appleton-Oshkosh
103.5,W278BQ,MANITOWOC,WI,DRL,0.038,44.125277777777775,87.62813888888888,D,LAKE 98.1,,,Adult Contemporary,
103.7,W279DD,HUDSON,WI,DRL,0.25,44.96802777777778,92.6671388888889,D,WDGY THE ORIGINAL ROCK N ROLL STATION,,"WRPX, INC.",Classic Rock,Minneapolis-Saint Paul
103.7,W279EG,Reedsburg,WI,NDIR,0.25,43.54388888888889,89.98958333333333,D,99.7 MAX FM,,"Civic Media, Inc.",Adult Hits,Madison
103.9,W280DT,LAC DU FLAMBEAU,WI,NDIR,0.24,45.975500000000004,89.88513888888889,D,WISCONSIN'S RADIO VOICE OF THE MASTER,,"WRVM, INC.",Religious Teaching,
104.1,W281AV,SHEBOYGAN,WI,NDIR,0.038,43.76555555555556,87.76647222222222,D,Q-90,61.7,"LAKESHORE COMMUNICATIONS, INC.",Christian CHR + Rock,Sheboygan
104.3,W282BU,PRAIRIE DU CHIEN,WI,NDIR,0.25,43.05969444444444,91.10069444444444,D,PRAIRIE`S OWN 980 & FM 104.3,155.9,ROBINSON MEDIA CORPORATION,Classic Hits,
104.5,W283DD,MARINETTE,WI,NDIR,0.25,45.06608333333333,87.6653888888889,D,SPORTSRADIO 570,,"RADIO PLUS BAY CITIES, LLC",Sports,
104.7,W284CW,MADISON,WI,NDIR,0.25,43.169444444444444,89.26066666666667,D,FAITH 1190/104.7,,UNIVERSITY OF NORTHWESTERN-ST. PAUL,Religious Teaching,Madison
105.1,W286CK,EAU CLAIRE,WI,NDIR,0.185,44.79997222222222,91.46572222222223,D,SPORTS TALK 105.1,,"CLEAR WATER BRANDS, INC.",Sports,Eau Claire
105.1,W286DS,APPLETON,WI,NDIR,0.12,44.254416666666664,88.43694444444445,D,CHRISTIAN INFORMATION RADIO,,"VCY AMERICA, INC.",Religious Teaching,Appleton-Oshkosh
105.3,W287BZ,OSHKOSH,WI,DRL,0.04,44.064166666666665,88.5286111111111,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Appleton-Oshkosh
105.3,W287CT,BLACK RIVER FALLS,WI,NDIR,0.25,44.31969444444445,90.89180555555556,D,THE BEST MUSIC ON YOUR RADIO 1260 AM,,"G&G Media Services, LLC",Adult Contemporary,
105.7,W289CB,MILWAUKEE,WI,DRL,0.25,43.09666666666667,87.90508333333334,D,105.7 THE FAN,,"Audacy License, LLC",Sports,Milwaukee-Racine
105.7,W289CT,MINOCQUA,WI,NDIR,0.25,45.82191666666667,89.72119444444445,D,THE LAKE 1570,,"RAVEN LICENSE SUB, LLC",Soft AC,
106.1,W291CM,APPLETON,WI,NDIR,0.013,44.288333333333334,88.34888888888888,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Appleton-Oshkosh
106.3,W292CG,LAND O' LAKES,WI,NDIR,0.12,46.13133333333333,89.21208333333334,D,WISCONSIN'S RADIO VOICE OF THE MASTER,29.1,"WRVM, INC.",Religious Teaching,
106.3,W292DR,WRIGHTSTOWN,WI,NDIR,0.25,44.35888888888889,87.98527777777778,D,APPLETON'S NEWS-TALK 1150,135.4,"WOODWARD COMMUNICATIONS, INC.",News/Talk,Green Bay
106.3,W292EG,EAU CLAIRE,WI,DRL,0.13,44.8,91.46583333333334,D,NEWSTALK 880 - 106.3,,iHeartMedia,Talk,Eau Claire
106.3,W292FA,OSHKOSH,WI,DRL,0.25,44.140027777777775,88.54733333333333,D,APPLETON'S NEWS-TALK 1150,,"WOODWARD COMMUNICATIONS, INC",News/Talk,Appleton-Oshkosh
106.5,W293CX,MILWAUKEE,WI,NDIR,0.099,43.07194444444445,87.95194444444445,D,THE VOICE,,COURIER COMMUNICATIONS CORPORATION,Urban AC,Milwaukee-Racine
106.7,W294CU,LACROSSE,WI,DRL,0.25,44.09111111111111,91.33805555555556,D,LA CROSSE'S NEWS STATION,,"FAMILY RADIO, INC.",Talk,
107.1,W296AD,EAGLE RIVER,WI,NDIR,0.25,45.876222222222225,89.22480555555556,D,WISCONSIN'S RADIO VOICE OF THE MASTER,,"WRVM, INC.",Religious Teaching,
107.1,W296DL,MEDFORD,WI,NDIR,0.25,45.164138888888886,90.34097222222222,D,KICKIN' COUNTRY 1490 AM & 107.1 FM,,"WIGM, INC.",Country,
107.1,W296EH,LA CROSSE,WI,DRL,0.25,43.74786111111111,91.2985,D,ALT 107.1,,,Rock,
107.3,W297AH,WAUTOMA,WI,NDIR,0.08,44.089444444444446,89.21275,D,WISCONSIN'S RADIO VOICE OF THE MASTER,31.8,"WRVM, INC.",Religious Teaching,
